normalizedTicker,instrumentType,exchangeId,symbolTicker,symbolExchangeTicker,symbolEsignalTicker,instrumentName,micCode
A,COMMON_STOCK,558,A,A,A,AGILENT TECHNOLOGIES INC,XNYS
AA,COMMON_STOCK,558,AA,AA,AA,ALCOA CORPORATION,XNYS
AAA,EXCHANGE_TRADED_FUND,545,AAA,AAA,AAA,AAF FIRST PRIORITY CLO BOND ETF,ARCX
AAAU,EXCHANGE_TRADED_FUND,545,AAAU,AAAU,AAAU,GOLDMAN SACHS PHYSICAL GOLD ETF,ARCX
AAC,COMMON_STOCK,558,AAC,AAC,AAC,ARES ACQUISITION CORP,XNYS
AAC.U,UNIT,558,AAC.UN,AAC.U,AAC.U,ARES ACQUISITION CORP UNIT 1 COM & 1/5 WT EXP,XNYS
AAC.WS,WARRANT,558,AAC+,AAC.WS,AAC/W,ARES ACQUISITION CORP C/WTS (TO PUR COM),XNYS
AACG,DEPOSITORY_RECEIPT,564,AACG,AACG,AACG,ATA CREATIVITY GLOBAL SPON ADS EACH REP 2 ORD SHS,XNMS
AACOU,UNIT,564,AACOU,AACOU,AACOU,ADVANCIT ACQUISITION CORP I UNIT 1 CL A & 1/3 WT EXP(25/02/2026),XNCM
AACQ,COMMON_STOCK,564,AACQ,AACQ,AACQ,ARTIUS ACQUISITION INC,XNCM
AACQU,UNIT,564,AACQU,AACQU,AACQU,ARTIUS ACQUISITION INC UNIT 1 COM & 1/3 WT EXP(13/07/2025),XNCM
AACQW,WARRANT,564,AACQW,AACQW,AACQW,ARTIUS ACQUISITION INC C/WTS 13/07/2025(TO PUR COM),XNCM
AADR,EXCHANGE_TRADED_FUND,564,AADR,AADR,AADR,ADVISORSHARES DORSEY WRIGHT ADR ETF,XNMS
AADR.IV,INDEX,340,AADR.IV,AADR.IV,$AADR.IV,AdvisorShares Dorsey Wright ADR ETF Intraday Portfolio,XASE
AAIC,COMMON_STOCK,558,AAIC,AAIC,AAIC,ARLINGTON ASSET INVESTMENT CORP,XNYS
AAICpB,PREFERRED_STOCK,558,AAIC-B,AAICpB,AAIC/PB,ARLINGTON ASSET INVESTMENT CORP 7% CUM PRF 12/05/2022 SER B USD25,XNYS
AAICpC,PREFERRED_STOCK,558,AAIC-C,AAICpC,AAIC/PC,ARLINGTON ASSET INVESTMENT CORP 8.250%CUM RED FIX TO FLT RATE SR C USD25,XNYS
AAL,COMMON_STOCK,564,AAL,AAL,AAL,AMERICAN AIRLINES GROUP INC,XNGS
AAMC,COMMON_STOCK,545,AAMC,AAMC,AAMC,ALTISOURCE ASSET MANAGEMENT CORP,XASE
AAME,COMMON_STOCK,564,AAME,AAME,AAME,ATLANTIC AMERICAN CORP,XNMS
AAN,COMMON_STOCK,558,AAN,AAN,AAN,THE AARONS COMPANY INC,XNYS
AAOI,COMMON_STOCK,564,AAOI,AAOI,AAOI,APPLIED OPTOELECTRONICS INC,XNMS
AAON,COMMON_STOCK,564,AAON,AAON,AAON,AAON INC,XNGS
AAP,COMMON_STOCK,558,AAP,AAP,AAP,ADVANCE AUTO PARTS INC,XNYS
AAPL,COMMON_STOCK,564,AAPL,AAPL,AAPL,APPLE INC,XNGS
AAQC,COMMON_STOCK,558,AAQC,AAQC,AAQC,ACCELERATE ACQUISITION CORP,XNYS
AAQC.U,UNIT,558,AAQC.UN,AAQC.U,AAQC.U,ACCELERATE ACQUISITION CORP UNIT 1 COM & 1/3 WT EXP,XNYS
AAQC.WS,WARRANT,558,AAQC+,AAQC.WS,AAQC/W,ACCELERATE ACQUISITION CORP C/WTS 15/03/2028 (TO PUR COM),XNYS
AAT,REIT,558,AAT,AAT,AAT,AMERICAN ASSETS TRUST INC,XNYS
AAU,COMMON_STOCK,545,AAU,AAU,AAU,ALMADEN MINERALS LTD,XASE
AAWW,COMMON_STOCK,564,AAWW,AAWW,AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,XNGS
AAXJ,EXCHANGE_TRADED_FUND,564,AAXJ,AAXJ,AAXJ,ISHARES TRUST MSCI ALL COUNTRY ASIA EX JAPAN ETF,XNMS
AB,LIMITED_PARTNERSHIP,558,AB,AB,AB,ALLIANCEBERNSTEIN HOLDING LP,XNYS
ABB,DEPOSITORY_RECEIPT,558,ABB,ABB,ABB,ABB LTD SPON ADR EACH REP 1 ORD SHS,XNYS
ABBV,COMMON_STOCK,558,ABBV,ABBV,ABBV,ABBVIE INC,XNYS
